ID,WRKSTAT,MARITAL,SPWRKSTA,SIBS,CHILDS,AGE,SEX,INCOM16,POLVIEWS,CAPPUN,COURTS,GRASS,RELITEN,POSTLIFE,PRAY,HAPPY,HAPMAR,HEALTH1,LIFE,HELPFUL,FAIR,TRUST,CONBUS,CONCLERG,CONEDUC,CONPRESS,CONMEDIC,SOCREL,SOCFREND,SOCBAR,AGED,CHLDIDEL,PILLOK,SEXEDUC,DIVLAW,PREMARSX,XMARSEX,OWNGUN,NEWS,TVHOURS,NEWSFROM,SCIFROM,ASTROLGY,SCIBNFTS,COLDEG1,USWAR,USWARY
1,2,5,NA,1,0,22,1,4,4,NA,NA,NA,2,1,4,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,NA,2,2,1,2,4,1,2,3,1,NA,NA,NA,NA,NA,NA,2
2,2,5,NA,2,0,21,1,4,5,1,2,1,2,1,6,1,NA,NA,1,2,1,2,1,1,2,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,9,1,1,NA,NA,NA
3,1,1,7,1,2,42,1,2,5,NA,NA,1,1,1,1,2,1,NA,1,1,1,1,2,2,2,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,5,5,1,1,NA,NA,NA
4,8,1,1,2,2,49,2,5,5,1,NA,1,2,1,6,1,1,1,NA,1,2,1,1,1,2,2,1,5,6,7,1,8,2,1,3,4,NA,NA,2,4,5,5,2,1,NA,2,NA
5,5,4,NA,0,3,70,2,2,2,2,2,2,3,NA,1,1,NA,3,NA,3,1,2,3,2,1,3,2,2,5,7,3,2,2,1,1,4,NA,NA,2,3,5,5,2,1,2,1,NA
6,8,2,NA,4,2,50,2,NA,4,2,2,NA,2,1,1,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,NA,2,1,1,1,4,3,2,1,4,NA,NA,NA,NA,NA,NA,1
7,7,1,1,2,2,35,2,3,4,1,2,1,3,1,4,2,2,1,NA,3,3,2,3,2,3,2,2,7,1,7,3,8,2,1,2,4,NA,NA,5,3,NA,NA,NA,NA,NA,1,NA
8,7,4,NA,2,3,24,2,3,4,2,1,2,2,2,5,2,NA,NA,2,3,3,2,2,2,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,1,NA,NA,NA,NA
9,7,1,2,2,2,28,2,3,6,NA,1,NA,4,2,6,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,NA,3,2,1,1,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,2
10,1,5,NA,0,0,28,2,1,2,2,3,1,4,NA,2,2,NA,NA,1,3,3,3,3,2,2,2,2,NA,NA,NA,3,NA,NA,NA,NA,NA,2,2,NA,NA,3,3,1,2,2,NA,NA
11,8,3,NA,4,6,55,1,4,1,1,NA,NA,1,1,2,1,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,7,NA,1,2,NA,NA,NA,3,2,1,6,NA,NA,NA,NA,NA,NA,1
12,2,5,NA,2,3,36,2,2,2,2,NA,1,2,1,2,2,NA,3,NA,1,1,2,3,3,3,3,2,4,4,6,1,2,2,1,1,4,NA,NA,5,2,NA,NA,NA,NA,NA,1,NA
13,7,5,NA,6,4,28,2,3,4,2,2,1,4,1,6,3,NA,NA,2,NA,1,2,1,3,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,1,NA,NA,NA,NA
14,8,3,NA,7,6,59,2,1,NA,NA,2,NA,1,1,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,NA,8,NA,1,2,1,1,2,4,2,NA,NA,NA,NA,NA,NA,1
15,2,5,NA,6,4,52,1,1,7,2,2,2,2,1,1,3,NA,1,NA,2,1,2,1,1,1,2,1,6,6,5,2,4,2,1,1,4,NA,NA,3,2,5,5,2,1,NA,2,NA
